1 	González 	568.240 	1,472%
2 	Rodríguez 	483.212 	1,252%
3 	Gómez 	426.253 	1,104%
4 	Fernández 	409.424 	1,060%
5 	López 	393.704 	1,020%
6 	Díaz 	346.271 	0,897%
7 	Martínez 	336.094 	0,870%
8 	Pérez 	294.527 	0,763%
9 	García 	290.821 	0,753%
10 	Sánchez 	271.351 	0,703%
11 	Romero 	256.397 	0,664%
12 	Sosa 	187.974 	0,487%
13 	Álvarez 	173.055 	0,448%
14 	Torres 	166.497 	0,431%
15 	Ruiz 	160.483 	0,415%
16 	Ramírez 	154.248 	0,399%
17 	Flores 	140.829 	0,364%
18 	Acosta 	135.893 	0,352%
19 	Benítez 	133.599 	0,346%
20 	Medina 	132.625 	0,343%
21 	Suárez 	130.607 	0,338%
22 	Herrera 	129.372 	0,335%
23 	Aguirre 	126.822 	0,328%
24 	Pereyra 	125.009 	0,323%
25 	Gutiérrez 	124.550 	0,322%
26 	Giménez/Jiménez 	123.938 	0,321%
27 	Molina 	119.674 	0,310%
28 	Silva 	118.825 	0,307%
29 	Castro 	118.106 	0,306%
30 	Rojas 	116.775 	0,302%
31 	Ortiz 	107.835 	0,279%
32 	Núñez 	104.668 	0,271%
33 	Luna 	104.581 	0,270%
34 	Juárez 	100.092 	0,261%
35 	Cabrera 	99.884 	0,258%
36 	Ríos 	98.761 	0,255%
37 	Ferreyra 	96.761 	0,250%
38 	Godoy 	96.228 	0,249%
39 	Morales 	95.628 	0,247%
40 	Domínguez 	94.781 	0,245%
41 	Moreno 	94.537 	0,245%
42 	Peralta 	92.707 	0,240%
43 	Vega 	92.127 	0,238%
44 	Carrizo 	91.365 	0,236%
45 	Quiroga 	89.583 	0,232%
46 	Castillo 	88.398 	0,229%
47 	Ledesma 	88.394 	0,229%
48 	Muñoz 	81.343 	0,210%
49 	Ojeda 	80.233 	0,207%
50 	Ponce 	80.050 	0,207%
51 	Vera 	79.882 	0,206%
52 	Vázquez 	75.365 	0,195%
53 	Villalba 	74.107 	0,192%
54 	Cardozo 	73.932 	0,191%
55 	Navarro 	73.907 	0,191%
56 	Ramos 	73.458 	0,190%
57 	Arias 	71.587 	0,185%
58 	Coronel 	71.534 	0,185%
59 	Córdoba 	70.713 	0,183%
60 	Figueroa 	70.092 	0,181%
61 	Correa 	70.055 	0,181%
62 	Cáceres 	69.720 	0,180%
63 	Vargas 	69.447 	0,179%
64 	Maldonado 	68.510 	0,177%
65 	Mansilla 	66.763 	0,172%
66 	Farías 	66.535 	0,172%
67 	Rivero 	66.461 	0,172%
68 	Paz 	66.457 	0,172%
69 	Miranda 	66.138 	0,171%
70 	Roldán 	65.375 	0,169%
71 	Méndez 	63.575 	0,164%
72 	Lucero 	63.367 	0,163%
73 	Cruz 	63.226 	0,163%
74 	Hernández 	63.157 	0,163%
75 	Agüero 	62.727 	0,162%
76 	Páez 	60.580 	0,156%
77 	Blanco 	59.333 	0,154%
78 	Mendoza 	58.956 	0,152%
79 	Barrios 	58.811 	0,151%
80 	Escobar 	58.604 	0,151%
81 	Ávila 	57.990 	0,149%
82 	Soria 	57.192 	0,148%
83 	Leiva 	55.633 	0,144%
84 	Acuña 	55.515 	0,143%
85 	Martín 	55.310 	0,143%
86 	Maidana 	54.806 	0,142%
87 	Moyano 	54.009 	0,139%
88 	Campos 	52.282 	0,135%
89 	Olivera 	51.972 	0,134%
90 	Duarte 	51.493 	0,133%
91 	Soto 	50.657 	0,131%
92 	Franco 	50.613 	0,131%
93 	Bravo 	50.588 	0,131%
94 	Valdez 	49.717 	0,128%
95 	Toledo 	49.645 	0,128%
96 	Velázquez 	49.543 	0,128%
97 	Montenegro 	49.291 	0,127%
98 	Leguizamón 	48.602 	0,125%
99 	Chávez 	48.355 	0,125%
100 	Arce 	47.344 	0,122% 
